月份,日期,合格产品累计数,不合格产品累计数
1,1,3453,9
1,2,3245,7
1,3,3449,4
1,4,3461,5
1,5,3439,4
1,6,3182,5
1,7,3663,4
1,8,3335,1
1,9,3093,6
1,10,3343,3
1,11,3399,5
1,12,3582,2
1,13,3205,4
1,14,3514,8
1,15,3269,2
1,16,3889,8
1,17,3525,5
1,18,3069,2
1,19,3314,4
1,20,3618,5
1,21,3787,4
1,22,3631,1
1,23,3119,6
1,24,3566,2
1,25,3184,7
1,26,2980,8
1,27,3222,5
1,28,3227,2
1,29,3042,3
1,30,3539,8
1,31,3650,4
2,1,3243,3
2,2,3357,3
2,3,3415,6
2,4,3309,5
2,5,3022,6
2,6,3131,0
2,7,3400,7
2,8,3886,2
2,9,3055,2
2,10,3154,1
2,11,3054,0
2,12,3280,3
2,13,3421,0
2,14,3499,6
2,15,3357,1
2,16,3264,5
2,17,2976,9
2,18,3306,0
2,19,3122,5
2,20,3343,2
2,21,3304,6
2,22,3173,1
2,23,3681,3
2,24,3180,7
2,25,3168,1
2,26,3394,1
2,27,3055,1
2,28,3847,5
3,1,2952,3
3,2,3085,3
3,3,3070,2
3,4,2771,4
3,5,2981,6
3,6,3214,0
3,7,3422,7
3,8,3699,10
3,9,3280,0
3,10,2986,2
3,11,3201,9
3,12,3258,0
3,13,3090,6
3,14,3574,3
3,15,3567,9
3,16,2929,8
3,17,3688,3
3,18,3009,1
3,19,2879,9
3,20,3243,8
3,21,3424,8
3,22,2984,2
3,23,3244,1
3,24,3018,8
3,25,3103,6
3,26,2979,9
3,27,3703,11
3,28,3439,4
3,29,3233,1
3,30,2983,6
3,31,2884,8
4,1,2868,4
4,2,3663,7
4,3,2940,7
4,4,3357,11
4,5,2799,1
4,6,3319,8
4,7,3239,3
4,8,3339,9
4,9,3627,2
4,10,2740,1
4,11,3760,4
4,12,2748,4
4,13,2831,2
4,14,3105,9
4,15,2757,1
4,16,2993,6
4,17,3349,1
4,18,3377,12
4,19,3482,11
4,20,3218,9
4,21,3705,11
4,22,3463,12
4,23,3081,9
4,24,3347,7
4,25,2915,0
4,26,3399,9
4,27,3365,1
4,28,2643,0
4,29,3435,3
4,30,2738,6
5,1,3170,4
5,2,3628,11
5,3,3127,8
5,4,3401,2
5,5,3275,4
5,6,3495,1
5,7,2986,4
5,8,3168,0
