月份,日期,故障类别,总次数,平均持续时长
1,1,A1,0,
1,1,A2,4,493.25
1,1,A3,2,705.0
1,1,A4,1,752.0
1,2,A1,0,
1,2,A2,9,530.56
1,2,A3,1,760.0
1,2,A4,0,
1,3,A1,1,466.0
1,3,A2,6,578.5
1,3,A3,1,780.0
1,3,A4,0,
1,4,A1,0,
1,4,A2,5,427.0
1,4,A3,0,
1,4,A4,3,841.0
1,5,A1,1,379.0
1,5,A2,4,472.5
1,5,A3,1,719.0
1,5,A4,3,748.33
1,6,A1,0,
1,6,A2,5,496.0
1,6,A3,0,
1,6,A4,3,824.33
1,7,A1,0,
1,7,A2,2,564.0
1,7,A3,1,650.0
1,7,A4,4,802.75
1,8,A1,0,
1,8,A2,5,525.0
1,8,A3,0,
1,8,A4,0,
1,9,A1,1,428.0
1,9,A2,5,508.4
1,9,A3,0,
1,9,A4,2,775.0
1,10,A1,0,
1,10,A2,3,456.67
1,10,A3,1,793.0
1,10,A4,3,827.33
1,11,A1,0,
1,11,A2,6,553.5
1,11,A3,0,
1,11,A4,2,730.5
1,12,A1,1,434.0
1,12,A2,3,535.33
1,12,A3,2,723.0
1,12,A4,1,610.0
1,13,A1,1,546.0
1,13,A2,7,541.57
1,13,A3,0,
1,13,A4,1,820.0
1,14,A1,1,459.0
1,14,A2,7,535.71
1,14,A3,0,
1,14,A4,2,710.5
1,15,A1,0,
1,15,A2,9,557.56
1,15,A3,1,678.0
1,15,A4,2,691.5
1,16,A1,1,498.0
1,16,A2,5,587.2
1,16,A3,0,
1,16,A4,3,755.67
1,17,A1,0,
1,17,A2,9,510.33
1,17,A3,2,736.5
1,17,A4,1,777.0
1,18,A1,0,
1,18,A2,8,519.62
1,18,A3,0,
1,18,A4,0,
1,19,A1,0,
1,19,A2,3,529.0
1,19,A3,2,774.0
1,19,A4,0,
1,20,A1,0,
1,20,A2,7,573.43
1,20,A3,0,
1,20,A4,0,
1,21,A1,0,
1,21,A2,6,561.67
1,21,A3,0,
1,21,A4,2,749.5
1,22,A1,0,
1,22,A2,6,587.5
1,22,A3,2,696.0
1,22,A4,2,746.5
1,23,A1,1,446.0
1,23,A2,3,437.0
1,23,A3,0,
1,23,A4,2,814.5
1,24,A1,1,64.0
1,24,A2,3,499.33
1,24,A3,0,
1,24,A4,2,725.0
1,25,A1,0,
1,25,A2,4,521.75
1,25,A3,0,
1,25,A4,3,779.0
