月份,日期,开始时间,故障类别,持续时长（秒）
1,1,1627,A4,752
1,1,7744,A2,462
1,1,15074,A3,739
1,1,15945,A2,386
1,1,19916,A3,671
1,1,23988,A2,413
1,1,25619,A2,712
1,2,839,A2,611
1,2,4341,A2,579
1,2,8154,A2,381
1,2,12070,A2,623
1,2,13099,A2,537
1,2,16674,A2,370
1,2,19914,A2,606
1,2,23432,A2,487
1,2,25109,A2,581
1,2,27798,A3,760
1,3,2575,A2,528
1,3,7492,A2,537
1,3,9485,A2,687
1,3,15528,A3,780
1,3,16461,A2,577
1,3,18208,A1,466
1,3,24476,A2,463
1,3,26710,A2,679
1,4,500,A4,890
1,4,7882,A2,441
1,4,9993,A4,754
1,4,16049,A2,443
1,4,17483,A4,879
1,4,24126,A2,677
1,4,25034,A2,435
1,4,28661,A2,139
1,5,2397,A4,878
1,5,7842,A2,384
1,5,8450,A2,701
1,5,12456,A3,719
1,5,16304,A1,379
1,5,17018,A2,391
1,5,23391,A4,767
1,5,25176,A2,414
1,5,26497,A4,600
1,6,283,A4,829
1,6,7800,A2,537
1,6,11256,A2,517
1,6,15833,A2,428
1,6,16566,A4,761
1,6,21684,A2,533
1,6,24534,A2,465
1,6,26956,A4,883
1,7,2628,A4,813
1,7,7777,A2,595
1,7,9202,A4,789
1,7,16074,A4,721
1,7,20015,A4,888
1,7,24742,A2,533
1,7,27775,A3,650
1,8,5529,A2,591
1,8,7562,A2,573
1,8,15128,A2,478
1,8,22578,A2,366
1,8,24673,A2,617
1,9,3506,A2,607
1,9,7606,A2,447
1,9,8582,A4,691
1,9,12623,A1,428
1,9,16144,A2,500
1,9,17309,A2,497
1,9,24134,A2,491
1,9,27387,A4,859
1,10,5106,A4,881
1,10,7845,A2,485
1,10,8908,A4,872
1,10,16174,A2,408
1,10,18242,A3,793
1,10,23189,A4,729
1,10,25069,A2,477
1,11,3163,A2,572
1,11,7557,A2,556
1,11,9209,A4,626
1,11,14647,A2,517
1,11,16221,A2,462
1,11,18237,A2,615
1,11,24284,A2,599
1,11,26581,A4,835
1,12,4844,A1,434
1,12,7398,A2,472
1,12,8921,A3,727
1,12,15576,A2,569
1,12,17612,A4,610
1,12,23727,A2,565
1,12,27926,A3,719
1,13,2491,A2,604
1,13,5167,A2,523
1,13,8112,A2,482
1,13,11195,A4,820
1,13,13383,A2,609
1,13,17009,A2,525
1,13,18633,A2,534
1,13,24956,A2,514
1,13,26948,A1,546
1,14,3205,A2,645
1,14,4733,A1,459
1,14,8089,A2,424
1,14,12164,A4,796
1,14,15434,A2,614
1,14,16923,A2,371
1,14,18554,A2,498
1,14,24484,A2,646
1,14,25403,A2,552
1,14,28122,A4,625
1,15,2176,A2,571
1,15,5365,A2,650
1,15,7058,A2,569
1,15,8782,A2,471
1,15,9729,A2,651
1,15,14503,A2,527
1,15,17232,A4,676
1,15,18107,A2,477
1,15,20282,A4,707
1,15,22588,A2,662
1,15,26100,A3,678
1,15,27603,A2,440
1,16,2467,A4,632
1,16,5199,A4,851
1,16,8461,A2,395
1,16,9140,A4,784
1,16,13273,A2,607
1,16,16841,A2,667
1,16,17886,A2,591
1,16,21557,A2,676
1,16,26063,A1,498
1,17,1714,A2,631
1,17,3592,A3,829
1,17,7864,A2,526
1,17,8978,A2,396
1,17,10929,A3,644
1,17,12853,A2,495
1,17,15588,A2,490
1,17,17989,A2,385
1,17,20604,A4,777
1,17,23351,A2,622
1,17,25247,A2,564
1,17,27302,A2,484
1,18,2232,A2,542
1,18,6778,A2,715
1,18,8256,A2,430
1,18,15686,A2,392
1,18,16344,A2,625
1,18,19580,A2,481
1,18,24163,A2,452
1,18,27569,A2,520
1,19,3206,A3,863
1,19,7855,A2,576
1,19,12289,A3,685
1,19,16081,A2,568
1,19,23621,A2,443
1,20,4283,A2,573
1,20,6522,A2,646
1,20,8183,A2,582
1,20,15751,A2,501
1,20,16903,A2,591
1,20,23829,A2,433
1,20,24766,A2,688
1,21,2183,A2,677
1,21,6192,A2,581
1,21,8243,A2,446
1,21,13026,A4,667
1,21,16356,A2,528
1,21,17906,A2,577
1,21,23023,A4,832
1,21,25286,A2,561
1,22,2289,A3,669
1,22,6517,A4,806
1,22,8334,A2,680
1,22,9126,A2,568
1,22,13320,A2,681
1,22,16843,A2,592
1,22,17946,A2,574
1,22,22679,A3,723
1,22,25302,A4,687
1,22,26916,A2,430
1,23,2369,A4,896
1,23,7860,A2,381
1,23,15234,A2,562
1,23,17015,A1,446
1,23,23228,A2,368
1,23,23985,A4,733
1,24,1830,A4,694
1,24,7686,A2,535
1,24,15193,A2,437
1,24,20016,A4,756
1,24,23358,A2,526
1,24,28736,A1,64
1,25,4770,A4,764
1,25,7728,A2,419
1,25,12708,A4,723
1,25,15475,A4,850
1,25,16685,A2,584
1,25,24234,A2,403
1,25,24903,A2,681
1,26,2932,A2,579
1,26,5877,A2,658
1,26,8229,A2,517
1,26,12005,A4,872
1,26,16604,A2,443
1,26,18230,A2,648
1,26,23876,A2,564
1,26,25238,A2,504
1,27,3002,A2,570
1,27,7520,A2,539
1,27,11090,A2,661
1,27,14852,A2,518
1,27,16231,A2,473
1,27,18805,A3,841
1,27,24524,A2,416
1,27,25066,A2,529
1,27,26617,A2,630
1,28,2271,A4,759
1,28,4545,A2,671
1,28,8422,A2,391
1,28,11386,A4,841
1,28,14939,A2,678
1,28,17318,A2,522
1,28,18253,A2,589
1,28,20463,A4,620
1,28,25140,A3,745
1,28,26759,A2,531
1,29,776,A2,622
1,29,7614,A2,596
1,29,8847,A2,555
1,29,10810,A3,841
1,29,16592,A2,496
1,29,18691,A2,673
1,29,22920,A2,700
1,29,25461,A2,411
1,30,6138,A2,684
1,30,7662,A2,584
1,30,13503,A2,489
1,30,15735,A2,597
1,30,23304,A2,375
1,30,24169,A2,604
1,30,27539,A3,727
1,31,794,A4,694
1,31,7686,A2,570
1,31,11616,A2,622
1,31,15871,A2,373
1,31,17305,A4,837
1,31,24074,A2,501
1,31,25639,A2,606
1,31,27674,A1,426
2,1,2292,A4,881
2,1,5837,A1,371
2,1,8251,A2,590
2,1,9030,A2,504
2,1,13689,A4,783
2,1,17093,A2,570
2,1,18584,A4,816
2,1,22602,A2,656
2,1,25729,A2,600
2,1,26728,A2,422
2,1,28774,A2,26
2,2,2558,A4,882
2,2,7874,A2,595
2,2,8718,A4,720
2,2,14058,A4,631
2,2,16785,A2,470
2,2,24227,A2,421
2,3,2653,A3,704
2,3,7689,A2,551
2,3,8703,A1,469
2,3,10620,A2,579
2,3,16288,A2,426
2,3,18454,A4,629
2,3,22240,A4,600
2,3,24943,A2,479
2,3,28782,A2,18
2,4,1063,A2,603
2,4,4624,A4,704
2,4,8299,A2,386
2,4,11170,A2,655
2,4,13498,A2,515
2,4,16827,A2,457
2,4,17967,A4,710
2,4,21418,A1,372
2,4,25366,A2,498
2,4,26061,A3,810
2,5,6971,A2,541
2,5,14477,A2,538
2,5,16157,A1,405
2,5,22399,A2,584
2,6,2834,A2,589
2,6,7553,A2,541
2,6,15094,A2,515
2,6,15893,A4,892
2,6,22623,A4,771
2,6,24272,A2,499
2,6,26931,A4,807
2,7,1672,A2,558
2,7,7550,A2,569
2,7,8959,A2,666
2,7,13412,A2,487
2,7,16237,A2,530
2,7,18598,A4,833
2,7,23998,A2,667
2,7,25260,A2,410
2,8,4542,A2,527
2,8,7519,A2,446
2,8,9659,A2,613
2,8,15144,A2,563
2,8,16113,A2,401
2,8,20945,A2,585
2,8,24085,A2,540
2,8,25094,A2,636
2,9,4549,A2,516
2,9,7221,A2,646
2,9,8147,A2,539
2,9,15686,A2,476
2,9,16267,A2,651
2,9,23799,A2,528
2,9,25609,A3,695
2,10,1431,A4,840
2,10,6132,A1,592
2,10,8417,A2,427
2,10,14724,A2,638
2,10,16461,A2,573
2,10,19583,A3,802
2,10,23905,A2,595
2,10,25431,A2,528
2,11,762,A2,689
2,11,6351,A2,693
2,11,8042,A4,738
2,11,9112,A2,551
2,11,13870,A2,684
2,11,16157,A2,509
2,11,17828,A2,452
2,11,20457,A2,583
2,11,24999,A4,626
2,11,26475,A2,433
2,12,6992,A2,596
2,12,12307,A3,737
2,12,15318,A2,366
2,12,22663,A2,426
2,12,27779,A2,674
2,13,1729,A3,681
2,13,6819,A2,486
2,13,8145,A2,415
2,13,12060,A2,522
2,13,14857,A2,488
2,13,16549,A2,484
2,13,21650,A4,668
2,13,24687,A2,591
2,14,2110,A4,851
2,14,7822,A2,507
2,14,9813,A2,546
2,14,12221,A2,609
2,14,16470,A2,550
2,14,19442,A2,523
2,14,23525,A4,863
2,14,25399,A2,381
2,15,6992,A2,421
2,15,9276,A1,369
2,15,14754,A2,434
2,15,22153,A2,447
2,15,28309,A4,491
2,16,489,A2,521
2,16,6226,A3,830
2,16,8350,A2,373
2,16,10704,A2,644
2,16,14142,A1,517
2,16,16877,A2,453
2,16,20186,A2,663
2,16,24059,A4,676
2,16,25648,A2,542
2,17,2320,A4,771
2,17,6052,A4,818
2,17,8588,A2,470
2,17,13595,A1,550
2,17,16573,A2,402
2,17,21925,A3,693
2,17,24647,A2,405
2,17,26022,A4,794
2,18,2911,A2,650
2,18,7355,A2,581
2,18,8230,A2,401
2,18,9591,A3,867
2,18,13380,A4,664
2,18,17162,A2,512
2,18,19127,A4,868
2,18,24930,A4,694
2,18,26201,A2,530
2,18,27564,A2,607
2,19,3926,A2,643
2,19,7635,A2,449
2,19,14811,A2,602
2,19,15665,A2,540
2,19,23177,A2,586
2,19,24792,A2,610
2,20,3191,A2,523
2,20,6865,A1,390
2,20,7884,A2,393
2,20,12183,A2,619
2,20,15896,A2,432
2,20,18362,A4,621
2,20,23942,A2,460
2,20,25894,A3,807
2,20,28419,A4,381
2,21,2085,A2,543
2,21,7535,A2,560
2,21,8817,A3,896
2,21,11095,A4,784
2,21,16761,A2,431
2,21,17942,A1,562
2,21,21664,A4,755
2,21,25296,A4,642
2,21,26116,A2,570
2,22,5396,A2,639
2,22,7638,A2,513
2,22,15137,A2,388
2,22,15651,A2,552
2,22,23077,A2,558
2,22,28522,A3,278
2,23,41,A2,633
2,23,5343,A2,621
2,23,8253,A2,406
2,23,8971,A4,624
2,23,16255,A2,474
2,23,17118,A4,684
2,23,19457,A2,632
2,23,24710,A1,572
2,23,25603,A2,495
2,23,28380,A2,420
2,24,6999,A2,465
2,24,10278,A2,689
2,24,15118,A2,584
2,24,22702,A2,366
2,25,3475,A4,889
2,25,5792,A4,635
2,25,8523,A2,584
2,25,9933,A2,518
2,25,14386,A3,614
2,25,17204,A2,509
2,25,19554,A2,527
2,25,23364,A2,518
2,25,25723,A2,547
2,25,27506,A4,690
2,26,1785,A3,600
2,26,5072,A2,707
2,26,7855,A4,680
2,26,8951,A2,376
2,26,11704,A4,739
2,26,15225,A2,583
2,26,17516,A2,542
2,26,18170,A2,434
2,26,20747,A1,366
2,26,25677,A3,604
2,26,26539,A2,362
2,26,27969,A4,671
2,27,2317,A1,504
2,27,7468,A2,537
2,27,14991,A2,442
2,27,22419,A2,462
2,27,24229,A4,801
2,28,2541,A3,727
2,28,5661,A2,522
2,28,8234,A2,417
2,28,11696,A2,695
2,28,16339,A2,421
2,28,21359,A2,560
2,28,24306,A2,513
2,28,26961,A2,568
3,1,2415,A1,565
3,1,5146,A4,688
3,1,7594,A2,586
3,1,8810,A2,466
3,1,13533,A3,818
3,1,16377,A4,835
3,1,17915,A2,473
3,1,20583,A4,614
3,1,24865,A4,630
3,1,26618,A2,452
3,2,1084,A2,633
3,2,5721,A2,581
3,2,8185,A2,532
3,2,11825,A2,643
3,2,15471,A2,522
3,2,16868,A2,376
3,2,18113,A3,850
3,2,25087,A2,425
3,2,25982,A1,581
3,2,27627,A1,594
3,3,1960,A1,532
3,3,7503,A2,546
3,3,8770,A2,608
3,3,11913,A3,725
3,3,16347,A2,397
3,3,18110,A1,497
3,3,22625,A3,846
3,3,25080,A2,479
3,3,27856,A3,600
3,4,2316,A2,656
3,4,3616,A2,533
3,4,7215,A2,490
3,4,8664,A2,404
3,4,12932,A2,491
3,4,16405,A2,635
3,4,17187,A2,596
3,4,18399,A2,709
3,4,24386,A2,711
3,4,26203,A2,479
3,4,27669,A2,674
3,5,892,A4,812
3,5,4063,A4,703
3,5,6180,A4,828
3,5,9195,A2,602
3,5,9916,A2,462
3,5,11155,A2,502
3,5,15357,A4,892
3,5,18093,A2,656
3,5,19407,A2,510
3,5,21226,A2,648
3,5,23484,A2,534
3,5,25516,A2,606
3,5,27466,A2,517
3,6,283,A4,720
3,6,3841,A2,519
3,6,5291,A2,643
3,6,7184,A4,740
3,6,9586,A2,528
3,6,11066,A2,528
3,6,13197,A2,590
3,6,14645,A4,790
3,6,16936,A2,714
3,6,18777,A2,529
3,6,20230,A2,579
3,6,21510,A3,742
3,6,24845,A4,870
3,6,27391,A2,702
3,6,28542,A3,258
3,7,91,A1,558
3,7,5111,A4,689
3,7,8239,A2,496
3,7,9918,A2,705
3,7,14179,A2,639
3,7,16106,A2,684
3,7,17763,A2,397
3,7,22249,A3,600
3,7,25215,A1,515
3,7,26254,A2,549
3,8,1620,A4,626
3,8,2998,A2,539
3,8,7363,A4,715
3,8,8844,A2,491
3,8,12983,A3,630
3,8,15600,A2,611
3,8,17562,A2,424
3,8,19302,A2,588
3,8,20230,A4,767
3,8,23331,A2,514
3,8,26548,A1,412
3,8,27260,A2,598
3,9,559,A2,581
3,9,3303,A2,657
3,9,6459,A2,574
3,9,8790,A2,422
3,9,10536,A1,541
3,9,13428,A2,519
3,9,16100,A4,833
3,9,18098,A2,580
3,9,19732,A4,789
3,9,21081,A4,701
3,9,24159,A3,801
3,9,26972,A4,827
3,9,28782,A2,18
3,10,742,A1,369
3,10,7354,A2,469
3,10,12458,A1,363
3,10,15186,A2,370
3,10,22535,A2,509
3,11,941,A4,877
3,11,4334,A2,633
3,11,7001,A4,721
3,11,9209,A2,473
3,11,10316,A4,836
3,11,13049,A4,895
3,11,14858,A3,637
3,11,17976,A4,805
3,11,19855,A2,586
3,11,21583,A1,390
3,11,23922,A4,600
3,11,25540,A2,659
3,11,28726,A2,74
3,12,321,A2,532
3,12,2393,A2,698
3,12,6109,A3,826
3,12,7739,A2,608
3,12,9649,A2,527
3,12,11688,A2,619
3,12,14232,A2,706
3,12,15428,A2,652
3,12,18999,A2,690
3,12,19815,A2,361
3,12,21030,A2,714
3,12,24887,A2,689
3,12,26626,A2,586
3,13,1022,A1,548
3,13,3039,A2,555
3,13,5113,A2,545
3,13,7240,A2,698
3,13,9331,A2,586
3,13,10866,A4,802
3,13,14405,A4,752
3,13,15468,A2,511
3,13,18388,A3,718
3,13,19679,A2,575
3,13,22417,A2,717
3,13,24527,A2,702
3,13,26056,A3,822
3,14,1070,A2,526
3,14,2842,A2,533
3,14,6543,A4,878
3,14,7939,A4,819
3,14,9755,A2,361
3,14,11810,A2,681
3,14,13681,A2,658
3,14,17083,A2,628
3,14,19076,A2,431
3,14,20645,A4,719
3,14,22732,A2,633
3,14,25220,A2,561
3,14,27405,A2,669
3,15,465,A4,824
3,15,5825,A4,601
3,15,8403,A2,579
3,15,14183,A2,655
3,15,15734,A2,586
3,15,17188,A2,386
3,15,23906,A4,762
3,15,25329,A2,421
3,15,27997,A2,676
3,16,959,A1,582
